mapa,modo_gato,modo_raton,captura,escape,empate,pasos,d_prom
big,astar,astar,0.98,0.02,0.0,4.1,1.7858333333333334
big,astar,minimax,1.0,0.0,0.0,4.56,1.9216666666666666
big,astar,random,1.0,0.0,0.0,4.8,1.8733333333333335
big,minimax,astar,0.12,0.88,0.0,9.44,1.5932818292818294
big,minimax,minimax,0.0,0.0,1.0,200.0,1.1360999999999999
big,minimax,random,0.0,0.56,0.44,147.08,1.4850124650809033
big,random,astar,0.04,0.96,0.0,9.24,2.075966255966256
big,random,minimax,0.0,0.06,0.94,196.22,2.3637784647328437
big,random,random,0.0,0.58,0.42,140.78,2.2481116076316936
small,astar,astar,0.86,0.14,0.0,3.24,1.3987380952380952
small,astar,minimax,0.98,0.02,0.0,3.26,1.3230952380952379
small,astar,random,1.0,0.0,0.0,3.52,1.3463333333333332
small,minimax,astar,0.38,0.62,0.0,6.04,1.5068686868686867
small,minimax,minimax,0.0,0.0,1.0,200.0,1.2031
small,minimax,random,0.0,0.88,0.12,67.76,1.5729152099188883
small,random,astar,0.14,0.86,0.0,6.08,1.5973275613275613
small,random,minimax,0.0,0.14,0.86,181.78,1.6758859873923704
small,random,random,0.0,1.0,0.0,53.12,1.6743929298424327
